Year,system,District,Subject,Percent P/A
2014,961.0,Alvin C. York Institute,Biology I,57.3
2013,961.0,Alvin C. York Institute,Biology I,81.6
2012,961.0,Alvin C. York Institute,Biology I,NA
2011,961.0,Alvin C. York Institute,Biology I,40.1
2015,961.0,Alvin C. York Institute,Chemistry,24.3
2014,961.0,Alvin C. York Institute,Chemistry,15.2
2013,961.0,Alvin C. York Institute,Chemistry,NA
2012,961.0,Alvin C. York Institute,Chemistry,NA
2011,961.0,Alvin C. York Institute,Chemistry,NA
2015,961.0,Alvin C. York Institute,English I,72.4
2014,961.0,Alvin C. York Institute,English I,65.2
2013,961.0,Alvin C. York Institute,English I,75.2
2012,961.0,Alvin C. York Institute,English I,66.8
2011,961.0,Alvin C. York Institute,English I,65.9
2015,961.0,Alvin C. York Institute,English II,66.0
2014,961.0,Alvin C. York Institute,English II,62.2
2013,961.0,Alvin C. York Institute,English II,58.6
2012,961.0,Alvin C. York Institute,English II,62.6
2011,961.0,Alvin C. York Institute,English II,55.3
2015,961.0,Alvin C. York Institute,English III,52.5
2014,961.0,Alvin C. York Institute,English III,39.6
2013,961.0,Alvin C. York Institute,English III,39.5
2012,961.0,Alvin C. York Institute,English III,35.0
2011,961.0,Alvin C. York Institute,English III,NA
2015,961.0,Alvin C. York Institute,Graduation Rate,81.3
2014,961.0,Alvin C. York Institute,Graduation Rate,88.6
2013,961.0,Alvin C. York Institute,Graduation Rate,92.2
2012,961.0,Alvin C. York Institute,Graduation Rate,92.8
2011,961.0,Alvin C. York Institute,Graduation Rate,NA
2015,961.0,Alvin C. York Institute,Math,NA
2014,961.0,Alvin C. York Institute,Math,NA
2013,961.0,Alvin C. York Institute,Math,NA
2012,961.0,Alvin C. York Institute,Math,NA
2011,961.0,Alvin C. York Institute,Math,NA
2015,961.0,Alvin C. York Institute,ELA,NA
2014,961.0,Alvin C. York Institute,ELA,NA
2013,961.0,Alvin C. York Institute,ELA,NA
2012,961.0,Alvin C. York Institute,ELA,NA
2011,961.0,Alvin C. York Institute,ELA,NA
2015,961.0,Alvin C. York Institute,Science,NA
2014,961.0,Alvin C. York Institute,Science,NA
2013,961.0,Alvin C. York Institute,Science,NA
2012,961.0,Alvin C. York Institute,Science,NA
2011,961.0,Alvin C. York Institute,Science,NA
2015,10.0,Anderson County,Algebra I,76.1
2014,10.0,Anderson County,Algebra I,74.7
2013,10.0,Anderson County,Algebra I,78.6
2012,10.0,Anderson County,Algebra I,68.2
2011,10.0,Anderson County,Algebra I,58.0
2015,10.0,Anderson County,Algebra II,63.4
2014,10.0,Anderson County,Algebra II,61.1
2013,10.0,Anderson County,Algebra II,41.1
2012,10.0,Anderson County,Algebra II,42.7
2011,10.0,Anderson County,Algebra II,NA
2015,10.0,Anderson County,Biology I,73.6
2014,10.0,Anderson County,Biology I,67.1
2013,10.0,Anderson County,Biology I,67.6
2012,10.0,Anderson County,Biology I,54.4
2011,10.0,Anderson County,Biology I,63.6
2015,10.0,Anderson County,Chemistry,41.0
2014,10.0,Anderson County,Chemistry,40.1
2013,10.0,Anderson County,Chemistry,NA
2012,10.0,Anderson County,Chemistry,NA
2011,10.0,Anderson County,Chemistry,NA
2015,10.0,Anderson County,English I,73.7
2014,10.0,Anderson County,English I,74.0
2013,10.0,Anderson County,English I,69.4
2012,10.0,Anderson County,English I,72.3
2011,10.0,Anderson County,English I,67.5
2015,10.0,Anderson County,English II,59.2
2014,10.0,Anderson County,English II,58.0
2013,10.0,Anderson County,English II,60.3
2012,10.0,Anderson County,English II,60.6
2011,10.0,Anderson County,English II,60.7
2015,10.0,Anderson County,English III,38.2
2014,10.0,Anderson County,English III,31.2
2013,10.0,Anderson County,English III,30.9
2012,10.0,Anderson County,English III,32.4
2011,10.0,Anderson County,English III,NA
2015,10.0,Anderson County,Graduation Rate,94.0
2014,10.0,Anderson County,Graduation Rate,91.3
2013,10.0,Anderson County,Graduation Rate,93.0
2012,10.0,Anderson County,Graduation Rate,88.5
2011,10.0,Anderson County,Graduation Rate,NA
2015,10.0,Anderson County,Math,54.0
2014,10.0,Anderson County,Math,49.8
2013,10.0,Anderson County,Math,48.0
2012,10.0,Anderson County,Math,45.5
2011,10.0,Anderson County,Math,35.3
2015,10.0,Anderson County,ELA,45.7
2014,10.0,Anderson County,ELA,47.9
2013,10.0,Anderson County,ELA,46.0
2012,10.0,Anderson County,ELA,47.5
2011,10.0,Anderson County,ELA,44.4
2015,10.0,Anderson County,Science,64.4
2014,10.0,Anderson County,Science,66.8
2013,10.0,Anderson County,Science,66.5
2012,10.0,Anderson County,Science,59.8
2011,10.0,Anderson County,Science,55.3
2015,793.0,Arlington City,Algebra I,87.9
2014,793.0,Arlington City,Algebra I,74.8
2013,793.0,Arlington City,Algebra I,80.9
2012,793.0,Arlington City,Algebra I,NA
2011,793.0,Arlington City,Algebra I,NA
2015,793.0,Arlington City,Algebra II,66.9
2014,793.0,Arlington City,Algebra II,53.6
2013,793.0,Arlington City,Algebra II,52.2
2012,793.0,Arlington City,Algebra II,NA
2011,793.0,Arlington City,Algebra II,NA
2015,793.0,Arlington City,Biology I,82.5
2014,793.0,Arlington City,Biology I,71.9
2013,793.0,Arlington City,Biology I,72.6
2012,793.0,Arlington City,Biology I,NA
2011,793.0,Arlington City,Biology I,NA
2015,793.0,Arlington City,Chemistry,49.8
2014,793.0,Arlington City,Chemistry,39.3
2013,793.0,Arlington City,Chemistry,NA
2012,793.0,Arlington City,Chemistry,NA
2011,793.0,Arlington City,Chemistry,NA
2015,793.0,Arlington City,English I,88.9
2014,793.0,Arlington City,English I,84.6
2013,793.0,Arlington City,English I,79.8
2012,793.0,Arlington City,English I,NA
2011,793.0,Arlington City,English I,NA
2015,793.0,Arlington City,English II,78.1
2014,793.0,Arlington City,English II,77.6
2013,793.0,Arlington City,English II,76.2
2012,793.0,Arlington City,English II,NA
2011,793.0,Arlington City,English II,NA
2015,793.0,Arlington City,English III,50.6
2014,793.0,Arlington City,English III,48.7
2013,793.0,Arlington City,English III,47.4
2012,793.0,Arlington City,English III,NA
2011,793.0,Arlington City,English III,NA
2015,793.0,Arlington City,Graduation Rate,94.0
2014,793.0,Arlington City,Graduation Rate,94.9
2013,793.0,Arlington City,Graduation Rate,NA
2012,793.0,Arlington City,Graduation Rate,NA
2011,793.0,Arlington City,Graduation Rate,NA
2015,793.0,Arlington City,Math,75.1
2014,793.0,Arlington City,Math,67.9
2013,793.0,Arlington City,Math,67.1
2012,793.0,Arlington City,Math,NA
2011,793.0,Arlington City,Math,NA
2015,793.0,Arlington City,ELA,75.6
2014,793.0,Arlington City,ELA,73.8
2013,793.0,Arlington City,ELA,72.4
2012,793.0,Arlington City,ELA,NA
2011,793.0,Arlington City,ELA,NA
2015,793.0,Arlington City,Science,88.3
2014,793.0,Arlington City,Science,87.6
2013,793.0,Arlington City,Science,86.1
2012,793.0,Arlington City,Science,NA
2011,793.0,Arlington City,Science,NA
2015,541.0,Athens City,Algebra I,100.0
2014,541.0,Athens City,Algebra I,98.3
2013,541.0,Athens City,Algebra I,100.0
2012,541.0,Athens City,Algebra I,100.0
2011,541.0,Athens City,Algebra I,69.6
2015,541.0,Athens City,Algebra II,NA
2014,541.0,Athens City,Algebra II,NA
2013,541.0,Athens City,Algebra II,NA
2012,541.0,Athens City,Algebra II,NA
2011,541.0,Athens City,Algebra II,NA
2015,541.0,Athens City,Biology I,NA
2014,541.0,Athens City,Biology I,NA
2013,541.0,Athens City,Biology I,NA
2012,541.0,Athens City,Biology I,NA
2011,541.0,Athens City,Biology I,NA
2015,541.0,Athens City,Chemistry,NA
2014,541.0,Athens City,Chemistry,NA
2013,541.0,Athens City,Chemistry,NA
2012,541.0,Athens City,Chemistry,NA
2011,541.0,Athens City,Chemistry,NA
2015,541.0,Athens City,English I,NA
2014,541.0,Athens City,English I,NA
2013,541.0,Athens City,English I,NA
2012,541.0,Athens City,English I,NA
2011,541.0,Athens City,English I,80.1
2015,541.0,Athens City,English II,NA
2014,541.0,Athens City,English II,NA
2013,541.0,Athens City,English II,NA
2012,541.0,Athens City,English II,NA
2011,541.0,Athens City,English II,NA
2015,541.0,Athens City,English III,NA
2014,541.0,Athens City,English III,NA
2013,541.0,Athens City,English III,NA
2012,541.0,Athens City,English III,NA
2011,541.0,Athens City,English III,NA
2015,541.0,Athens City,Graduation Rate,NA
2014,541.0,Athens City,Graduation Rate,NA
2013,541.0,Athens City,Graduation Rate,NA
2012,541.0,Athens City,Graduation Rate,NA
2011,541.0,Athens City,Graduation Rate,NA
2015,541.0,Athens City,Math,59.4
2014,541.0,Athens City,Math,58.6
2013,541.0,Athens City,Math,64.0
2012,541.0,Athens City,Math,58.8
2011,541.0,Athens City,Math,50.4
2015,541.0,Athens City,ELA,52.9
2014,541.0,Athens City,ELA,52.5
2013,541.0,Athens City,ELA,58.0
2012,541.0,Athens City,ELA,54.4
2011,541.0,Athens City,ELA,53.4
2015,541.0,Athens City,Science,62.5
2014,541.0,Athens City,Science,60.0
2013,541.0,Athens City,Science,64.9
2012,541.0,Athens City,Science,65.3
2011,541.0,Athens City,Science,58.9
2015,794.0,Bartlett City,Algebra I,78.1
2014,794.0,Bartlett City,Algebra I,64.0
2013,794.0,Bartlett City,Algebra I,66.0
2012,794.0,Bartlett City,Algebra I,NA
2011,794.0,Bartlett City,Algebra I,NA
2015,794.0,Bartlett City,Algebra II,59.4
2014,794.0,Bartlett City,Algebra II,46.7
2013,794.0,Bartlett City,Algebra II,51.0
2012,794.0,Bartlett City,Algebra II,NA
2011,794.0,Bartlett City,Algebra II,NA
2015,794.0,Bartlett City,Biology I,71.8
2014,794.0,Bartlett City,Biology I,65.2
2013,794.0,Bartlett City,Biology I,69.2
2012,794.0,Bartlett City,Biology I,NA
2011,794.0,Bartlett City,Biology I,NA
2015,794.0,Bartlett City,Chemistry,36.2
2014,794.0,Bartlett City,Chemistry,32.6
2013,794.0,Bartlett City,Chemistry,NA
2012,794.0,Bartlett City,Chemistry,NA
2011,794.0,Bartlett City,Chemistry,NA
2015,794.0,Bartlett City,English I,80.3
2014,794.0,Bartlett City,English I,75.5
2013,794.0,Bartlett City,English I,71.4
2012,794.0,Bartlett City,English I,NA
2011,794.0,Bartlett City,English I,NA
2015,794.0,Bartlett City,English II,74.6
2014,794.0,Bartlett City,English II,69.0
2013,794.0,Bartlett City,English II,67.5
2012,794.0,Bartlett City,English II,NA
2011,794.0,Bartlett City,English II,NA
2015,794.0,Bartlett City,English III,41.6
2014,794.0,Bartlett City,English III,36.3
2013,794.0,Bartlett City,English III,40.3
2012,794.0,Bartlett City,English III,NA
2011,794.0,Bartlett City,English III,NA
2015,794.0,Bartlett City,Graduation Rate,81.3
2014,794.0,Bartlett City,Graduation Rate,73.8
2013,794.0,Bartlett City,Graduation Rate,NA
2012,794.0,Bartlett City,Graduation Rate,NA
2011,794.0,Bartlett City,Graduation Rate,NA
2015,794.0,Bartlett City,Math,66.2
2014,794.0,Bartlett City,Math,56.6
2013,794.0,Bartlett City,Math,59.8
2012,794.0,Bartlett City,Math,NA
2011,794.0,Bartlett City,Math,NA
2015,794.0,Bartlett City,ELA,60.5
2014,794.0,Bartlett City,ELA,57.2
2013,794.0,Bartlett City,ELA,59.2
2012,794.0,Bartlett City,ELA,NA
2011,794.0,Bartlett City,ELA,NA
2015,794.0,Bartlett City,Science,75.9
2014,794.0,Bartlett City,Science,70.7
2013,794.0,Bartlett City,Science,73.1
2012,794.0,Bartlett City,Science,NA
2011,794.0,Bartlett City,Science,NA
2015,20.0,Bedford County,Algebra I,64.3
2014,20.0,Bedford County,Algebra I,61.7
2013,20.0,Bedford County,Algebra I,61.2
2012,20.0,Bedford County,Algebra I,54.6
2011,20.0,Bedford County,Algebra I,50.1
2015,20.0,Bedford County,Algebra II,42.4
2014,20.0,Bedford County,Algebra II,40.8
2013,20.0,Bedford County,Algebra II,32.0
2012,20.0,Bedford County,Algebra II,31.4
2011,20.0,Bedford County,Algebra II,NA
2015,20.0,Bedford County,Biology I,62.0
2014,20.0,Bedford County,Biology I,57.1
2013,20.0,Bedford County,Biology I,54.5
2012,20.0,Bedford County,Biology I,51.3
2011,20.0,Bedford County,Biology I,48.4
2015,20.0,Bedford County,Chemistry,32.4
2014,20.0,Bedford County,Chemistry,29.2
2013,20.0,Bedford County,Chemistry,NA
2012,20.0,Bedford County,Chemistry,NA
2011,20.0,Bedford County,Chemistry,NA
2015,20.0,Bedford County,English I,72.3
2014,20.0,Bedford County,English I,72.0
2013,20.0,Bedford County,English I,66.7
2012,20.0,Bedford County,English I,61.9
2011,20.0,Bedford County,English I,66.9
2015,20.0,Bedford County,English II,63.0
2014,20.0,Bedford County,English II,59.7
2013,20.0,Bedford County,English II,53.4
2012,20.0,Bedford County,English II,58.2
2011,20.0,Bedford County,English II,54.7
2015,20.0,Bedford County,English III,44.6
2014,20.0,Bedford County,English III,36.2
2013,20.0,Bedford County,English III,32.6
2012,20.0,Bedford County,English III,35.5
2011,20.0,Bedford County,English III,NA
2015,20.0,Bedford County,Graduation Rate,90.8
2014,20.0,Bedford County,Graduation Rate,89.0
2013,20.0,Bedford County,Graduation Rate,91.9
2012,20.0,Bedford County,Graduation Rate,81.0
2011,20.0,Bedford County,Graduation Rate,NA
2015,20.0,Bedford County,Math,53.0
2014,20.0,Bedford County,Math,48.8
2013,20.0,Bedford County,Math,47.6
2012,20.0,Bedford County,Math,43.7
2011,20.0,Bedford County,Math,39.8
2015,20.0,Bedford County,ELA,44.1
2014,20.0,Bedford County,ELA,44.6
2013,20.0,Bedford County,ELA,45.4
2012,20.0,Bedford County,ELA,47.5
2011,20.0,Bedford County,ELA,45.7
2015,20.0,Bedford County,Science,61.8
2014,20.0,Bedford County,Science,60.2
2013,20.0,Bedford County,Science,57.5
2012,20.0,Bedford County,Science,56.6
2011,20.0,Bedford County,Science,51.8
2015,172.0,Bells City,Algebra I,NA
2014,172.0,Bells City,Algebra I,NA
2013,172.0,Bells City,Algebra I,NA
2012,172.0,Bells City,Algebra I,NA
2011,172.0,Bells City,Algebra I,NA
2015,172.0,Bells City,Algebra II,NA
2014,172.0,Bells City,Algebra II,NA
2013,172.0,Bells City,Algebra II,NA
2012,172.0,Bells City,Algebra II,NA
2011,172.0,Bells City,Algebra II,NA
2015,172.0,Bells City,Biology I,NA
2014,172.0,Bells City,Biology I,NA
2013,172.0,Bells City,Biology I,NA
2012,172.0,Bells City,Biology I,NA
2011,172.0,Bells City,Biology I,NA
2015,172.0,Bells City,Chemistry,NA
2014,172.0,Bells City,Chemistry,NA
2013,172.0,Bells City,Chemistry,NA
2012,172.0,Bells City,Chemistry,NA
2011,172.0,Bells City,Chemistry,NA
2015,172.0,Bells City,English I,NA
2014,172.0,Bells City,English I,NA
2013,172.0,Bells City,English I,NA
2012,172.0,Bells City,English I,NA
2011,172.0,Bells City,English I,NA
2015,172.0,Bells City,English II,NA
2014,172.0,Bells City,English II,NA
2013,172.0,Bells City,English II,NA
2012,172.0,Bells City,English II,NA
2011,172.0,Bells City,English II,NA
2015,172.0,Bells City,English III,NA
2014,172.0,Bells City,English III,NA
2013,172.0,Bells City,English III,NA
2012,172.0,Bells City,English III,NA
2011,172.0,Bells City,English III,NA
2015,172.0,Bells City,Graduation Rate,NA
2014,172.0,Bells City,Graduation Rate,NA
2013,172.0,Bells City,Graduation Rate,NA
2012,172.0,Bells City,Graduation Rate,NA
2011,172.0,Bells City,Graduation Rate,NA
2015,172.0,Bells City,Math,60.8
2014,172.0,Bells City,Math,62.5
2013,172.0,Bells City,Math,62.8
2012,172.0,Bells City,Math,49.7
2011,172.0,Bells City,Math,36.7
2015,172.0,Bells City,ELA,60.8
2014,172.0,Bells City,ELA,51.9
2013,172.0,Bells City,ELA,55.0
2012,172.0,Bells City,ELA,47.5
2011,172.0,Bells City,ELA,41.4
2015,172.0,Bells City,Science,79.5
2014,172.0,Bells City,Science,72.0
2013,172.0,Bells City,Science,65.4
2012,172.0,Bells City,Science,60.1
2011,172.0,Bells City,Science,52.3
2015,30.0,Benton County,Algebra I,73.7
2014,30.0,Benton County,Algebra I,60.8
2013,30.0,Benton County,Algebra I,65.2
2012,30.0,Benton County,Algebra I,56.3
2011,30.0,Benton County,Algebra I,49.1
2015,30.0,Benton County,Algebra II,58.4
2014,30.0,Benton County,Algebra II,40.1
2013,30.0,Benton County,Algebra II,39.8
2012,30.0,Benton County,Algebra II,43.1
2011,30.0,Benton County,Algebra II,NA
2015,30.0,Benton County,Biology I,77.0
2014,30.0,Benton County,Biology I,72.1
2013,30.0,Benton County,Biology I,71.6
2012,30.0,Benton County,Biology I,65.9
2011,30.0,Benton County,Biology I,55.4
2015,30.0,Benton County,Chemistry,33.2
2014,30.0,Benton County,Chemistry,29.1
2013,30.0,Benton County,Chemistry,NA
2012,30.0,Benton County,Chemistry,NA
2011,30.0,Benton County,Chemistry,NA
2015,30.0,Benton County,English I,75.4
2014,30.0,Benton County,English I,68.3
2013,30.0,Benton County,English I,64.4
2012,30.0,Benton County,English I,62.2
2011,30.0,Benton County,English I,73.1
2015,30.0,Benton County,English II,60.9
2014,30.0,Benton County,English II,65.6
2013,30.0,Benton County,English II,54.4
2012,30.0,Benton County,English II,64.1
2011,30.0,Benton County,English II,61.0
2015,30.0,Benton County,English III,45.6
2014,30.0,Benton County,English III,31.2
2013,30.0,Benton County,English III,44.2
2012,30.0,Benton County,English III,41.3
2011,30.0,Benton County,English III,NA
2015,30.0,Benton County,Graduation Rate,94.5
2014,30.0,Benton County,Graduation Rate,87.7
2013,30.0,Benton County,Graduation Rate,91.3
2012,30.0,Benton County,Graduation Rate,89.6
2011,30.0,Benton County,Graduation Rate,NA
2015,30.0,Benton County,Math,53.9
2014,30.0,Benton County,Math,47.6
2013,30.0,Benton County,Math,46.8
2012,30.0,Benton County,Math,47.8
2011,30.0,Benton County,Math,39.2
2015,30.0,Benton County,ELA,46.0
2014,30.0,Benton County,ELA,44.6
2013,30.0,Benton County,ELA,48.2
2012,30.0,Benton County,ELA,48.0
2011,30.0,Benton County,ELA,44.9
2015,30.0,Benton County,Science,65.0
2014,30.0,Benton County,Science,68.5
2013,30.0,Benton County,Science,68.7
2012,30.0,Benton County,Science,67.0
2011,30.0,Benton County,Science,60.6
2015,40.0,Bledsoe County,Algebra I,64.8
2014,40.0,Bledsoe County,Algebra I,56.4
2013,40.0,Bledsoe County,Algebra I,69.5
2012,40.0,Bledsoe County,Algebra I,73.9
2011,40.0,Bledsoe County,Algebra I,70.2
2015,40.0,Bledsoe County,Algebra II,73.8
2014,40.0,Bledsoe County,Algebra II,53.3
2013,40.0,Bledsoe County,Algebra II,57.8
2012,40.0,Bledsoe County,Algebra II,43.8
2011,40.0,Bledsoe County,Algebra II,NA
2015,40.0,Bledsoe County,Biology I,73.0
2014,40.0,Bledsoe County,Biology I,76.7
2013,40.0,Bledsoe County,Biology I,78.2
2012,40.0,Bledsoe County,Biology I,82.5
2011,40.0,Bledsoe County,Biology I,46.2
2015,40.0,Bledsoe County,Chemistry,19.5
2014,40.0,Bledsoe County,Chemistry,22.6
2013,40.0,Bledsoe County,Chemistry,NA
2012,40.0,Bledsoe County,Chemistry,NA
2011,40.0,Bledsoe County,Chemistry,NA
2015,40.0,Bledsoe County,English I,63.6
2014,40.0,Bledsoe County,English I,60.9
2013,40.0,Bledsoe County,English I,66.7
2012,40.0,Bledsoe County,English I,63.7
2011,40.0,Bledsoe County,English I,52.4
2015,40.0,Bledsoe County,English II,53.2
2014,40.0,Bledsoe County,English II,64.3
2013,40.0,Bledsoe County,English II,61.3
2012,40.0,Bledsoe County,English II,56.3
2011,40.0,Bledsoe County,English II,59.0
2015,40.0,Bledsoe County,English III,50.0
2014,40.0,Bledsoe County,English III,44.1
2013,40.0,Bledsoe County,English III,35.2
2012,40.0,Bledsoe County,English III,51.2
2011,40.0,Bledsoe County,English III,NA
2015,40.0,Bledsoe County,Graduation Rate,92.4
2014,40.0,Bledsoe County,Graduation Rate,89.6
